         n;        f1;        f2;        f3;        f4;        f5;        f6
     10000;  0.000018;  0.083746;  0.168497;  0.000028;  0.083742;  0.137993
     20000;  0.000034;  0.334502;  0.668505;  0.000056;  0.332209;  0.552397
     30000;  0.000049;  0.751995;  1.500010;  0.000084;  0.746762;  1.245526
     40000;  0.000068;  1.334720;  2.668442;  0.000110;  1.326471;  2.215589
     50000;  0.000084;  2.073711;  4.160566;  0.000131;  2.082775;  3.455448
     60000;  0.000099;  2.994729;  5.989370;  0.000167;  2.984724;  4.977140
     70000;  0.000117;  4.084532;  8.227423;  0.000192;  4.087930;  6.829619
     80000;  0.000136;  5.353656; 10.669455;  0.000222;  5.317331;  8.866174
     90000;  0.000149;  6.734167; 13.495509;  0.000248;  6.740133; 11.237074
    100000;  0.000164;  8.601816; 16.629410;  0.000275;  8.303151; 13.837397
